state,raw,canonical,,,,
TX,Direct Campaign Expenditure Filer,Independent Expenditure,,,,
"# A legislative caucus is a caucus of sitting members, not a candidate, party",,,,,,
"# or ballot committee — none of the canonical buckets fit, so Other.",,,,,,
TX,Legislative Caucus,Other,,,,
# == Wyoming ===================================================================,,,,,,
# committee_type comes from the transaction export's Recipient Type/Filer Type
# column (there is no separate registered-type field). Almost all of it is
# CANDIDATE COMMITTEE/POLITICAL ACTION COMMITTEE/PARTY COMMITTEE — the single
# ORGANIZATION row in the whole export suggests that "tab" is barely used on
# the live site too.,,,,,,
WY,CANDIDATE COMMITTEE,Candidate Committee,,,,
WY,POLITICAL ACTION COMMITTEE,PAC,,,,
WY,PARTY COMMITTEE,Party Committee,,,,
WY,ORGANIZATION,Other,,,,
# == Virginia ==================================================================,,,,,,
# VA's CommitteeType is a raw Report.csv value with six possible values,,,,,,
# observed on the live site's committee-type filter.,,,,,,
VA,Candidate Campaign Committee,Candidate Committee,,,,
VA,Political Action Committee,PAC,,,,
VA,Political Party Committee,Party Committee,,,,
VA,Out of State Political Committee,PAC,,,,
VA,Referendum Committee,Ballot Measure,,,,
VA,Inaugural Committee,Other,,,,
# == Oregon ====================================================================,,,,,,
# committee_type is ORESTAR's raw Committee Type (CC/PAC/CPC) only -- Committee,,,,,,
"# SubType (""Measure""/""Recall""/""Political Party""/""Miscellaneous"", or a specific",,,,,,
# initiative/referendum name for CPC filers) isn't folded into committee_type,,,,,,
"# by the parser, so party committees and measure/recall PACs can't be told",,,,,,
# apart from a generic PAC yet -- a parser change, not an alias-layer fix.,,,,,,
OR,CC,Candidate Committee,,,,
OR,PAC,PAC,,,,
# CPC = Petition Committee (initiative/referendum/recall organizers) -- always,,,,,,
# measure- or recall-related by definition of the filer type itself.,,,,,,
OR,CPC,Ballot Measure,,,,
# == Wisconsin ==================================================================,,,,,,
"# WI Registrant Type is hierarchical (""PAC  -> Labor""); the parser collapses",,,,,,
# whitespace to a single X -> Y form so both hierarchy levels are mapped here.,,,,,,
WI,State Candidate,Candidate Committee,,,,
WI,State Candidate -> Personal Campaign Committee,Candidate Committee,,,,
WI,State Candidate -> Support Committee,Candidate Committee,,,,
WI,Local Candidate,Candidate Committee,,,,
WI,Political Party,Party Committee,,,,
WI,Political Party -> State,Party Committee,,,,
WI,Political Party -> County,Party Committee,,,,
WI,Political Party -> Local,Party Committee,,,,
WI,Legislative Campaign Committee,Party Committee,,,,
WI,PAC,PAC,,,,
WI,PAC -> Resident,PAC,,,,
WI,PAC -> Nonresident,PAC,,,,
WI,PAC -> Labor,PAC,,,,
WI,PAC -> Corporate,PAC,,,,
WI,Independent Expenditure Committee,Independent Expenditure,,,,
WI,Independent Expenditure Committee -> Resident,Independent Expenditure,,,,
WI,Independent Expenditure Committee -> Nonresident,Independent Expenditure,,,,
# Entities that spend on express advocacy without registering as a committee —,,,,,,
"# functionally independent expenditure filers, so bucketed with them.",,,,,,
WI,Unregistered Express Advocacy,Independent Expenditure,,,,
WI,Referendum Committee,Ballot Measure,,,,
WI,Referendum,Ballot Measure,,,,
# A conduit is a pass-through that forwards earmarked individual contributions;,,,,,,
"# it neither contributes on its own behalf nor backs a candidate, so Other.",,,,,,
WI,Conduit,Other,,,,
# Recall committees back or oppose the recall of an officeholder — candidate-,,,,,,
"# adjacent, but not a candidate, party or ballot committee.",,,,,,
WI,Recall,Other,,,,
# == West Virginia =============================================================,,,,,,
"# Source column: COMMITTEE TYPE, carried inline on every CON and EXP row and",,,,,,
# also present as orgType in the registry feed. State Candidate and State,,,,,,
# Political Action Committee are confirmed against real exports; the rest are,,,,,,
# the committee classes WV Code 3-8 recognizes.,,,,,,
WV,State Candidate,Candidate Committee,,,,
WV,Local Candidate,Candidate Committee,,,,
WV,State Political Action Committee,PAC,,,,
WV,Local Political Action Committee,PAC,,,,
WV,Political Action Committee,PAC,,,,
WV,State Party Executive Committee,Party Committee,,,,
WV,County Party Executive Committee,Party Committee,,,,
WV,Political Party Committee,Party Committee,,,,
# Caucus committees are run by legislative leadership to fund their own,,,,,,
"# caucus's candidates - party-aligned, but not the party organization itself.",,,,,,
WV,Caucus Campaign Committee,Party Committee,,,,
WV,Independent Expenditure,Independent Expenditure,,,,
WV,Independent Expenditure Committee,Independent Expenditure,,,,
WV,Ballot Issue Committee,Ballot Measure,,,,
WV,Ballot Issue,Ballot Measure,,,,
# == New Mexico ==============================================================,,,,,,
